,Offense_Description,Report_Date,Full_Address
0,Theft: All Other Larceny,04/29/2014 12:00:00 AM,4300 SPEEDWAY                                                                                       Austin TX 78751
1,Theft: All Other Larceny,06/17/2014 12:00:00 AM,8803 SCHICK RD                                                                                      Austin TX 78729
2,Theft: All Other Larceny,04/07/2014 12:00:00 AM,2101 RIO GRANDE ST                                                                                  Austin TX 78705
3,Theft: BOV,11/08/2014 12:00:00 AM,1901 ONION CREEK PKWY                                                                               Austin TX 78748
4,Theft: Auto Theft,08/14/2014 12:00:00 AM,8519 CAHILL DR                                                                                      Austin TX 78729
5,Theft: BOV,11/26/2014 12:00:00 AM,5628 NIJMEGEN DR                                                                                    Austin TX 78617
6,Theft: BOV,02/26/2014 12:00:00 AM,15119 N IH 35 SVRD NB                                                                               Austin TX 78660
7,Theft: All Other Larceny,10/19/2014 12:00:00 AM,2105 E 14TH ST                                                                                      Austin TX 78702
8,Theft: BOV,06/13/2014 12:00:00 AM,1222 ALGARITA AVE                                                                                   Austin TX 78704
9,Theft: All Other Larceny,12/10/2014 12:00:00 AM,500 E 7TH ST                                                                                        Austin TX 78701
10,Theft: BOV,03/05/2014 12:00:00 AM,6007 N IH 35 SVRD NB                                                                                Austin TX 78723
11,Theft: All Other Larceny,12/12/2014 12:00:00 AM,7439 N LAMAR BLVD                                                                                   Austin TX 78752
12,Aggravated Assault,01/19/2014 12:00:00 AM,219 E 6TH ST                                                                                        Austin TX 78701
13,Theft: All Other Larceny,06/16/2014 12:00:00 AM,6008 SANDSHOF DR                                                                                    Austin TX 78724
14,Theft: All Other Larceny,01/08/2014 12:00:00 AM,525 N LAMAR BLVD                                                                                    Austin TX 78703
15,Aggravated Assault,03/07/2014 12:00:00 AM,305 W 5TH ST                                                                                        Austin TX 78701
16,Robbery,10/31/2014 12:00:00 AM,10810 N LAMAR BLVD                                                                                  Austin TX 78758
17,Burglary: Breaking & Entering,05/01/2014 12:00:00 AM,7201 MANCHACA RD                                                                                    Austin TX 78745
18,Theft: All Other Larceny,12/18/2014 12:00:00 AM,303 E OLTORF ST                                                                                     Austin TX 78704
19,Theft: All Other Larceny,08/17/2014 12:00:00 AM,1401 EVA ST                                                                                         Austin TX 78704
20,Theft: All Other Larceny,10/10/2014 12:00:00 AM,8300 N FM 620 RD                                                                                    Austin TX 78726
21,Theft: Coin Op Machine,10/22/2014 12:00:00 AM,1431 FAIRFIELD DR                                                                                   Austin TX 78758
22,Theft: BOV,05/15/2014 12:00:00 AM,11301 FARRAH LN                                                                                     Austin TX 78748
23,Theft: BOV,10/22/2014 12:00:00 AM,6501 SKINNER CV                                                                                     Austin TX 78759
24,Theft: Auto Theft,09/13/2014 12:00:00 AM,8401 S 1ST ST                                                                                       Austin TX 78748
26,Theft: BOV,10/09/2014 12:00:00 AM,1901 E ANDERSON LN SVRD EB                                                                          Austin TX 78752
27,Theft: BOV,05/09/2014 12:00:00 AM,6201 E US 290 HWY SVRD EB                                                                           Austin TX 78723
28,Aggravated Assault,08/10/2014 12:00:00 AM,1307 SOUTHPORT DR                                                                                   Austin TX 78704
