VENDOR_CODE,LEGAL_NAME,ALIAS,PRINCIPLE_CONTACT,EMAIL,PHONE,PHONE_EXT,FAX,FAX_EXT,STREET_1,STREET_2,CITY,STATE,ZIP
VC0000102852,MANUEL GARZA III,MG DRILLING,MANUEL GARZA III,M45GARZA@MSN.COM,5124968775,,5122584756,,PO BOX 2143,,CEDAR PARK,TX,78630
VS0000027333,"Green and Sustainable Services, LLC",,Thomas Smith,tsmith@grnserv.com,9405973723,,9404792009,,2421 Amyx Ranch Drive,,Ponder,TX,76259
VS0000027653,JUAN DEANDA TRUCKING LLC,JUAN DEANDA TRUCKING,JUAN DEANDA,juandeandatruckingllc@yahoo.com,5127481537,,5122856596,,5101 HWY 21,,MAXWELL,TX,78656
MAR8301130,MARS INDUSTRIES L L C,,ALVINO ROSALES,AROS3B@SWBELL.NET,5123034413,,5123211199,,PO BOX 560,,CEDAR CREEK,TX,78612-0560
VS0000027198,ELITE TURFCARE GROUP LLC,ForeverLawn Austin,Vicki Harkrider,vicki@eliteturfcare.com,5123107320,,5123107327,,9601 Gray Blvd.,,Austin,TX,78758
VC0000102203,ABC EROSION CONTROL INC,,VALERIE SANCHEZ,vsanchez@abceci.com,5122593894,,5122594467,,23407 Fulkes Lane,,LEANDER,TX,78641
VS0000029355,TORRES PLUMBING LLC,TORRES PLUMBING,Miguel Torres,torresplumbingtx@aol.com,5126581400,,5128240074,,9705 BURNET RD STE 503,,AUSTIN,TX,78758
VS0000014981,Paradigm Contracting LLC,PARADIGM CONTRACTING,Helen Bergold,helen@paradigmcontract.com,5122934450,,5126922947,,10719 Twilight Vista,,Austin,TX,78736
ALL8314335,TONY PARENT ENTERPRISES,ALLIED FENCE & SECURITY,TONY PARENT,estimating@alliedfence1950.com,5122555416,,5122557096,,"13350 OLD KIMBRO RD, BLDG A",,MANOR,TX,78653
ALL8308356,ALL POINTS INSPECTION SVCS INC,ALL POINTS INSPECTIONS SERVICES INC,ALAYNE JOHNSON,austin@apisgroup2.com,5122725056,,5122728278,,6613 Bramber Ln,,Austin,TX,78754
ASD7048240,ASD CONSULTANTS INC,,CURTIS BROWN,curtis2aia@aol.com,5128363329,,5128363802,,8120 N IH 35,,AUSTIN,TX,78753
COO8314787,STEVEN L COOK,COOK'S CARPET CLEANING AND FLOORS,STEVEN COOK,,5123740326,,5122206886,,12305 Granton Cove,,Manor,TX,78653
FOU7151270,FOUR-B PAVING,,BRANDY BAKER,,8302285849,,8302285869,,PO BOX 1065,,SPRING BRANCH,TX,78070-1065
DFW8307726,DFW INFRASTRUCTURE INC,,DONNA BROWN,,8887399070,,8173327244,,PO BOX 7347,,FORT WORTH,TX,76111-7347
FIV7110915,5 STAR FABRICATIONS INC,,GARY OR MELINA FIVEASH,sales@5starfabrications.com,5122670470,,5122670471,,18794 FM 1431,,JONESTOWN,TX,78645-9666
KAM8305026,KAMO ENERGY INC,,CHOB KAMOLSRI,kamoenergy@msn.com,2105669800,,2105669801,,1201 Universal City Blvd,,Universal City,TX,78148-3352
ITG8318552,I T GONZALEZ ENGINEERS,"I T, GONZALES",IT GONZALEZ,itgonz@swbell.net,5124477400,11,5124476389,,3501 MANOR RD,,AUSTIN,TX,78723-5815
CGE8308640,CGE INC,,CARLOS ESTEVES,cgecarlos@austin.rr.com,5123019652,,5123940293,,4408 Hwy. 183 S.,,AUSTIN,TX,78702
DES1529150,DESERT STEEL CO INC,,JOANN NICHOLS,desertsteel@yahoo.com,9727907975,,9727908563,,3613 KIM DRIVE,,IRVING,TX,75061
V00000939969,"Civilitude, LLC",,Fayez  Kazi,info@civilitude.com,5127616161,,5127616167,,1210 Rosewood Ave.,,Austin,TX,78702
HVJ2459750,HVJ ASSOCIATES INC,,HERBERT V. JOHNSON,HJOHNSON@HVJ.COM,5124479081,,2819337293,,"4201 FREIDRICH LANE, SUITE 110",,AUSTIN,TX,78744-1045
MAR7095015,MARIE'S TRUCKING,,ANNA KELLOUGH,mariekellough@yahoo.com,5124410775,,5124410549,,2314 WAGON CROSSING PATH,,AUSTIN,TX,78744-4330
