Offense_Description,Report_Date,Full Address,Zip
Theft: All Other Larceny,02/24/2014 12:00:00 AM,3101 GUADALUPE ST                                                                                   ,78705
Theft: Shoplifting,08/18/2014 12:00:00 AM,1000 E 41ST ST                                                                                      ,78751
Theft: BOV,08/22/2014 12:00:00 AM,117 W WILLIAM CANNON DR                                                                             ,78745
Theft: Auto Theft,07/19/2014 12:00:00 AM,6407 SPRINGDALE RD                                                                                  ,78723
Theft: All Other Larceny,07/14/2014 12:00:00 AM,7201 BLESSING AVE                                                                                   ,78752
Aggravated Assault,07/19/2014 12:00:00 AM,E WILLIAM CANNON DR / S IH 35 SVRD NB                                                               ,78744
Theft: Shoplifting,02/18/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              ,78753
Theft: BOV,01/30/2014 12:00:00 AM,1803 E ANDERSON LN SVRD EB                                                                          ,78752
Theft: Shoplifting,06/25/2014 12:00:00 AM,7301 N FM 620 RD                                                                                    ,78726
Theft: All Other Larceny,06/13/2014 12:00:00 AM,309 E GRADY DR                                                                                      ,78753
Theft: BOV,10/29/2014 12:00:00 AM,6013 S 1ST ST                                                                                       ,78745
Theft: All Other Larceny,01/07/2014 12:00:00 AM,2525 W ANDERSON LN                                                                                  ,78757
Theft: All Other Larceny,01/13/2014 12:00:00 AM,9300 S IH 35 SVRD SB                                                                                ,78748
Theft: All Other Larceny,10/03/2014 12:00:00 AM,10900 LAKELINE MALL DR                                                                              ,78717
Burglary: Breaking & Entering,04/16/2014 12:00:00 AM,10408 O ROURK LN                                                                                    ,78739
Theft: Shoplifting,11/30/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              ,78753
Theft: from Building,12/07/2014 12:00:00 AM,8601 RESEARCH BLVD NB                                                                               ,78758
Theft: All Other Larceny,01/22/2014 12:00:00 AM,1000 E 41ST ST                                                                                      ,78751
Burglary: Breaking & Entering,12/27/2014 12:00:00 AM,9205 RESEARCH BLVD SVRD NB                                                                          ,78758
Theft: Shoplifting,06/17/2014 12:00:00 AM,11200 LAKELINE MALL DR                                                                              ,78613
Theft: All Other Larceny,11/11/2014 12:00:00 AM,9323 MANCHACA RD                                                                                    ,78748
Burglary: Breaking & Entering,03/26/2014 12:00:00 AM,6408 ROSEBOROUGH DR                                                                                 ,78747
Theft: All Other Larceny,03/29/2014 12:00:00 AM,1221 ALGARITA AVE                                                                                   ,78704
Theft: All Other Larceny,04/11/2014 12:00:00 AM,401 LITTLE TEXAS LN                                                                                 ,78745
Theft: BOV,03/24/2014 12:00:00 AM,6301 E US 290 HWY EB                                                                                ,78723
Theft: Shoplifting,09/25/2014 12:00:00 AM,2110 W SLAUGHTER LN                                                                                 ,78748
Theft: BOV,02/08/2014 12:00:00 AM,6607 BRODIE LN                                                                                      ,78745
Aggravated Assault,05/18/2014 12:00:00 AM,9070 RESEARCH BLVD SVRD SB                                                                          ,78757
Theft: Auto Theft,11/13/2014 12:00:00 AM,11001 S 1ST ST                                                                                      ,78748
Theft: All Other Larceny,11/07/2014 12:00:00 AM,403 E 15TH ST                                                                                       ,78701
Theft: Auto Theft,11/14/2014 12:00:00 AM,1131 HOLLOW CREEK DR                                                                                ,78704
Theft: All Other Larceny,05/26/2014 12:00:00 AM,505 BARTON SPRINGS RD                                                                               ,78704
Theft: All Other Larceny,04/30/2014 12:00:00 AM,2326 E 2ND ST                                                                                       ,78702
Burglary: Breaking & Entering,01/31/2014 12:00:00 AM,1201 BARBARA JORDAN BLVD                                                                            ,78723
Theft: BOV,12/29/2014 12:00:00 AM,8800 N IH 35 SVRD SB                                                                                ,78753
Theft: BOV,11/26/2014 12:00:00 AM,2405 STEVENS CV                                                                                     ,78723
Aggravated Assault,03/26/2014 12:00:00 AM,8701 ESCARPMENT BLVD                                                                                ,78749
Theft: All Other Larceny,06/21/2014 12:00:00 AM,500 E 7TH ST                                                                                        ,78701
Theft: BOV,09/25/2014 12:00:00 AM,1000 BARTON SPRINGS RD                                                                              ,78704
Theft: BOV,01/04/2014 12:00:00 AM,1300 S PLEASANT VALLEY RD                                                                           ,78741
Theft: All Other Larceny,12/19/2014 12:00:00 AM,9333 RESEARCH BLVD NB                                                                               ,78759
Burglary: Breaking & Entering,09/25/2014 12:00:00 AM,817 SHERATON AVE                                                                                    ,78745
