PRIMARY_KEY,REP_DATE,REP_TIME,SEX,AGE_AT_OFFENSE,APD_RACE_DESC,LOCATION,PERSON_SEARCHED_DESC,REASON_FOR_STOP_DESC,SEARCH_BASED_ON_DESC,SEARCH_DISC_DESC,RACE_KNOWN,X_COORDINATE,Y_COORDINATE,SECTOR,LOCAL_FIELD1
201510010,1/1/15 00:00,2,M,22,HISPANIC OR LATINO,701 N IH 35 NB,YES = 1,CALL FOR SERVICE,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3117044,10070236,GEORGE,1
201510140,1/1/15 00:00,317,M,27,WHITE,1100 W BEN WHITE BLVD EB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3103640,10055808,DAVID,5
201510140,1/1/15 00:00,317,F,19,WHITE,1100 W BEN WHITE BLVD EB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3103640,10055808,DAVID,5
201510262,1/1/15 00:00,426,M,28,WHITE,1400 W 6TH ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3108779,10072861,BAKER,9
201510324,1/1/15 00:00,106,F,55,WHITE,500 TRINITY ST,YES = 1,CONSENSUAL CONTACT,INCIDENTAL TO ARREST,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3115301,10070114,GEORGE,9
201510491,1/1/15 00:00,526,M,20,ASIAN,W YAGER LN / N LAMAR BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3133236,10119845,EDWARD,7
201510541,1/1/15 00:00,201,M,30,HISPANIC OR LATINO,3000 BLOCK NORTHLAND DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3110504,10095151,BAKER,7
201510587,1/1/15 00:00,1745,M,21,WHITE,500 SAN JACINTO BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,ALCOHOL,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3114905,10070325,GEORGE,9
201510603,1/1/15 00:00,221,M,31,HISPANIC OR LATINO,7800 S IH 35 SVRD NB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3103979,10038055,FRANK,2
201510627,1/1/15 00:00,229,M,21,HISPANIC OR LATINO,900 BLOCK S IH 35 SVRD NB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,CASH,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3116808,10064059,HENR,9
201510642,1/1/15 00:00,236,M,36,HISPANIC OR LATINO,N LAMAR BLVD / W POWELL LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3124223,10101087,EDWARD,4
201510717,1/1/15 00:00,457,M,38,WHITE,W ANDERSON LN / BURNET RD,YES = 1,CALL FOR SERVICE,FRISK FOR SAFETY,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3117321,10102869,BAKER,7
201511245,1/1/15 00:00,1118,F,30,WHITE,700 E LIVE OAK ST,YES = 1,PRE-EXISTING KNOWLEDGE,INCIDENTAL TO ARREST,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3113151,10060427,HENR,9
201511597,1/1/15 00:00,1737,M,21,HISPANIC OR LATINO,2100 E 12TH ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3122137,10073190,CHARLIE,1
201511756,1/1/15 00:00,1945,M,22,BLACK,5500 MANOR RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3132607,10083739,IDA,1
201511830,1/1/15 00:00,2318,M,24,HISPANIC OR LATINO,7400 S IH 35 SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3104320,10039066,FRANK,2
201511830,1/1/15 00:00,2318,M,18,HISPANIC OR LATINO,7400 S IH 35 SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3104320,10039066,FRANK,2
201511838,1/1/15 00:00,2011,M,27,HISPANIC OR LATINO,1901 E ANDERSON LN EB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3133342,10093401,IDA,1
201511894,1/1/15 00:00,2054,M,18,HISPANIC OR LATINO,7400 S IH 35 SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,WEAPONS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3104320,10039066,FRANK,2
201511911,1/1/15 00:00,2332,M,55,BLACK,800 NORWOOD PARK BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3128054,10098052,IDA,4
201511922,1/1/15 00:00,2114,M,24,BLACK,1000 BLOCK TILLERY ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,NOTHING,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,3126738,10069424,HENR,3
201512021,1/2/15 00:00,224,M,40,WHITE,11900 RESEARCH BLVD SVRD NB,YES = 1,CALL FOR SERVICE,PROBABLE CAUSE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3110889,10127639,ADAM PD,6
201512049,1/1/15 00:00,2229,M,28,BLACK,6100 SPRINGDALE RD,NO = 2,,,,,3136645,10084462,IDA,1
201512062,1/1/15 00:00,2333,M,26,HISPANIC OR LATINO,5000 MUELLER BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3126296,10084253,IDA,9
201512065,1/1/15 00:00,2238,M,42,BLACK,5500 BLOCK PINE PL,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3112171,10044414,FRANK,2
201512097,1/1/15 00:00,2300,M,33,BLACK,8500 N LAMAR BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,3125257,10102147,EDWARD,4
201520047,1/2/15 00:00,33,M,30,ASIAN,100 W 6TH ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3114274,10070789,GEORGE,9
201520050,1/2/15 00:00,411,M,29,HISPANIC OR LATINO,2300 E MARTIN LUTHER KING JR BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3122292,10075471,CHARLIE,1
201520052,1/2/15 00:00,37,M,30,BLACK,600 E RUNDBERG LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3130375,10104307,EDWARD,4
201520085,1/2/15 00:00,100,M,40,WHITE,1000 S 1ST ST,NO = 2,,,,,3111193,10065576,DAVID,9
201520111,1/2/15 00:00,127,M,22,WHITE,6300 S IH 35 SVRD SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3106636,10043730,FRANK,2
201520111,1/2/15 00:00,127,F,19,WHITE,6300 S IH 35 SVRD SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3106636,10043730,FRANK,2
201520134,1/2/15 00:00,212,M,41,BLACK,10313 LAKE CREEK PKWY,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INVENTORY OF TOWED VEHICLE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3096175,10140350,ADAM PD,6
201520154,1/2/15 00:00,222,M,32,BLACK,MANOR RD / ROGGE LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3133403,10084477,IDA,1
201520208,1/2/15 00:00,400,M,36,BLACK,MANOR RD / E 51ST ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3131645,10082117,BAKER,1
201521297,1/2/15 00:00,1947,M,33,BLACK,10300 BURNET RD,YES = 1,VIOLATION OF CITY ORDIANCE,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3119475,10114196,ADAM PD,7
201521443,1/2/15 00:00,2045,F,67,WHITE,S IH 35 SVRD SB / WOODWARD ST,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3113147,10054510,HENR,3
