GO Highest Offense Desc,Highest NIBRS/UCR Offense Description,GO Report Date,GO Location,Clearance Date,GO Location Zip
THEFT                         ,Theft: All Other Larceny,06/26/2014 12:00:00 AM,3300 FOOTHILL DR                                                                                    ,07/17/2014 12:00:00 AM,78731.0
AUTO THEFT                    ,Auto Theft,07/05/2014 12:00:00 AM,4500 BLOCK CRAIGWOOD DR                                                                             ,10/02/2014 12:00:00 AM,78725.0
BURGLARY OF VEHICLE           ,Theft: BOV,05/12/2014 12:00:00 AM,1719 BLUEBONNET LN                                                                                  ,05/14/2014 12:00:00 AM,78704.0
BURGLARY OF RESIDENCE         ,"Burglary / 
Breaking & Entering",10/20/2014 12:00:00 AM,1227 NEWNING AVE                                                                                    ,10/31/2014 12:00:00 AM,78704.0
THEFT                         ,Theft: All Other Larceny,03/21/2014 12:00:00 AM,10800 PLAINS TRL                                                                                    ,03/27/2014 12:00:00 AM,78758.0
RAPE                          ,Rape,04/26/2014 12:00:00 AM,,04/28/2014 12:00:00 AM,78745.0
THEFT                         ,Theft: All Other Larceny,04/16/2014 12:00:00 AM,11525 STONEHOLLOW DR                                                                                ,04/17/2014 12:00:00 AM,78758.0
THEFT                         ,Theft: All Other Larceny,08/30/2014 12:00:00 AM,601 E 15TH ST                                                                                       ,09/02/2014 12:00:00 AM,78701.0
BURGLARY OF VEHICLE           ,Theft: BOV,08/14/2014 12:00:00 AM,12137 TUMBLING CREEK TRL                                                                            ,08/21/2014 12:00:00 AM,78748.0
BURGLARY OF VEHICLE           ,Theft: BOV,08/27/2014 12:00:00 AM,907 W SLAUGHTER LN                                                                                  ,09/02/2014 12:00:00 AM,78748.0
DEADLY CONDUCT                ,Aggravated Assault,11/29/2014 12:00:00 AM,5100 PAR CV                                                                                         ,12/17/2014 12:00:00 AM,78744.0
BURG NON RESIDENCE SHEDS      ,"Burglary / 
Breaking & Entering",07/19/2014 12:00:00 AM,6604 BERKMAN DR                                                                                     ,07/24/2014 12:00:00 AM,78723.0
THEFT BY SHOPLIFTING          ,Theft: Shoplifting,06/05/2014 12:00:00 AM,9414 N LAMAR BLVD                                                                                   ,06/06/2014 12:00:00 AM,78758.0
THEFT                         ,Theft: All Other Larceny,05/30/2014 12:00:00 AM,901 S CAPITAL OF TEXAS HWY NB                                                                       ,08/20/2014 12:00:00 AM,78746.0
BURGLARY OF RESIDENCE         ,"Burglary / 
Breaking & Entering",04/17/2014 12:00:00 AM,2501 ANKEN DR                                                                                       ,05/05/2014 12:00:00 AM,78741.0
THEFT                         ,Theft: All Other Larceny,06/06/2014 12:00:00 AM,2504 NEW YORK DR                                                                                    ,06/17/2014 12:00:00 AM,78702.0
THEFT BY SHOPLIFTING          ,Theft: Shoplifting,01/31/2014 12:00:00 AM,2508 E RIVERSIDE DR                                                                                 ,02/03/2014 12:00:00 AM,78741.0
