AHI #,Project ID,Project Name,Owner,Developer,Address,Zip Code,TCAD ID,Council District,Kirwan Opportunity Index,Total Units,Total Affordable Units,Distance to High Freq. Transit,Unit Type,Housing Type,Status,Affordability Start Year,Affordability Expiration Year ,Affordability Period,Date Fee in Lieu Received,Fee in Lieu Status,Required Amount of Fee in Lieu,Units <= 30% MFI,Units <= 40% MFI,Units <= 50% MFI,Units <= 60% MFI,Units <= 65% MFI,Units <= 80% MFI,Market Rate Units,Funding,DDB,ERC,RNY,MDA,NBG,PUDDA,PUDDB,SMART,TOD,UNO,VMU,Location
55,3313,1002 Navasota,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1002 Navasota,78702,193005,1,Very Low,1,1,>1/2 Mile,Single Family,Rental,Project Complete,2001,2021,20,,None,,0,0,0,0,0,1,0,RHDA,No,No,No,No,No,No,No,No,No,No,No,"1002 Navasota
"
61,3328,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2011,2021,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,"Undisclosed
"
61,3329,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2011,2021,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,"Undisclosed
"
61,3330,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2012,2022,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,"Undisclosed
"
61,3331,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2013,2023,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,"Undisclosed
"
61,3332,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2013,2023,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,"Undisclosed
"
61,3333,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2013,2023,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,"Undisclosed
"
61,3334,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2013,2023,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,"Undisclosed
"
61,3335,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2013,2023,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,"Undisclosed
"
61,3336,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2013,2023,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,"Undisclosed
"
61,3337,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2013,2023,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,"Undisclosed
"
61,3338,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2013,2023,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,"Undisclosed
"
61,3339,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2014,2024,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,"Undisclosed
"
61,3340,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2014,2024,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,"Undisclosed
"
