,GO Primary Key,Council District,GO Highest Offense Desc,Austin_Offense_Description,GO Report Date,GO Location,Clearance Status,Clearance Date,GO District,Zip,GO Census Tract,GO X Coordinate,GO Y Coordinate,City,State,Full_Address
1,201610643.0,9.0,THEFT                         ,Theft,1-Jan-16,219 E 6TH ST                                                                                        ,C,4-Jan-16,G,78701,11.0,3114957.0,10070462.0,Austin ,TX ,219 E 6TH ST                                                                                        Austin  TX  78701
3,201610893.0,9.0,THEFT                         ,Theft,1-Jan-16,404 COLORADO ST                                                                                     ,N,22-Jan-16,G,78701,11.0,3113643.0,10070357.0,Austin ,TX ,404 COLORADO ST                                                                                     Austin  TX  78701
25,201611574.0,9.0,BURGLARY OF VEHICLE           ,Theft,1-Jan-16,119 E 10TH ST                                                                                       ,N,14-Jan-16,G,78701,11.0,3115057.0,10071995.0,Austin ,TX ,119 E 10TH ST                                                                                       Austin  TX  78701
26,201611627.0,7.0,THEFT BY SHOPLIFTING          ,Theft,1-Jan-16,3311 ESPERANZA XING                                                                                 ,N,14-Jan-16,A,78758,18.49,3118197.0,10118869.0,Austin ,TX ,3311 ESPERANZA XING                                                                                 Austin  TX  78758
27,201611703.0,2.0,BURGLARY OF VEHICLE           ,Theft,1-Jan-16,4749 E BEN WHITE BLVD SVRD EB                                                                       ,N,2-Jan-16,F,78744,24.31,3118931.0,10051193.0,Austin ,TX ,4749 E BEN WHITE BLVD SVRD EB                                                                       Austin  TX  78744
28,201611731.0,5.0,THEFT                         ,Theft,1-Jan-16,9300 S IH 35 SVRD SB                                                                                ,C,16-Feb-16,F,78748,24.21,3100423.0,10033116.0,Austin ,TX ,9300 S IH 35 SVRD SB                                                                                Austin  TX  78748
31,201611773.0,9.0,BURGLARY OF VEHICLE           ,Theft,1-Jan-16,1000 E 41ST ST                                                                                      ,C,2-Jan-16,B,78751,3.02,3121345.0,10082705.0,Austin ,TX ,1000 E 41ST ST                                                                                      Austin  TX  78751
32,201611833.0,5.0,THEFT BY SHOPLIFTING          ,Theft,1-Jan-16,9500 S IH 35 SVRD SB                                                                                ,C,17-Feb-16,F,78748,24.21,3099459.0,10032098.0,Austin ,TX ,9500 S IH 35 SVRD SB                                                                                Austin  TX  78748
33,201611845.0,5.0,THEFT                         ,Theft,1-Jan-16,9300 S IH 35 SVRD SB                                                                                ,N,6-Jan-16,F,78748,24.21,3100423.0,10033116.0,Austin ,TX ,9300 S IH 35 SVRD SB                                                                                Austin  TX  78748
38,201612212.0,9.0,THEFT                         ,Theft,1-Jan-16,214 E 6TH ST                                                                                        ,C,4-Jan-16,G,78701,11.0,3115019.0,10070660.0,Austin ,TX ,214 E 6TH ST                                                                                        Austin  TX  78701
39,201612251.0,5.0,THEFT                         ,Theft,1-Jan-16,9300 S IH 35 SVRD SB                                                                                ,C,1-Jan-16,F,78748,24.21,3100423.0,10033116.0,Austin ,TX ,9300 S IH 35 SVRD SB                                                                                Austin  TX  78748
42,201612601.0,4.0,THEFT BY SHOPLIFTING          ,Theft,1-Jan-16,1030 NORWOOD PARK BLVD                                                                              ,C,2-Jan-16,I,78753,18.13,3129997.0,10096983.0,Austin ,TX ,1030 NORWOOD PARK BLVD                                                                              Austin  TX  78753
43,20165000003.0,7.0,THEFT OF LICENSE PLATE        ,Theft,1-Jan-16,12166 METRIC BLVD                                                                                   ,N,1-Jan-16,A,78758,18.5,3127301.0,10121525.0,Austin ,TX ,12166 METRIC BLVD                                                                                   Austin  TX  78758
44,20165000008.0,4.0,BURGLARY OF VEHICLE           ,Theft,1-Jan-16,1201 CLOVERLEAF DR                                                                                  ,N,14-Jan-16,I,78723,21.04,3126104.0,10087499.0,Austin ,TX ,1201 CLOVERLEAF DR                                                                                  Austin  TX  78723
45,20165000009.0,9.0,THEFT                         ,Theft,1-Jan-16,W 4TH ST / COLORADO ST                                                                              ,N,13-Jan-16,G,78701,11.0,3113692.0,10070194.0,Austin ,TX ,W 4TH ST / COLORADO ST                                                                              Austin  TX  78701
46,20165000010.0,4.0,THEFT                         ,Theft,1-Jan-16,8010 N IH 35 SVRD SB                                                                                ,N,27-Jan-16,E,78753,18.04,3127447.0,10098323.0,Austin ,TX ,8010 N IH 35 SVRD SB                                                                                Austin  TX  78753
47,20165000013.0,9.0,THEFT                         ,Theft,1-Jan-16,406 E 6TH ST                                                                                        ,N,5-Jan-16,G,78701,11.0,3115566.0,10070504.0,Austin ,TX ,406 E 6TH ST                                                                                        Austin  TX  78701
48,20165000015.0,3.0,BURGLARY OF VEHICLE           ,Theft,1-Jan-16,3200 S 1ST ST                                                                                       ,N,4-Jan-16,D,78704,13.07,3107452.0,10057904.0,Austin ,TX ,3200 S 1ST ST                                                                                       Austin  TX  78704
49,20165000019.0,9.0,THEFT                         ,Theft,1-Jan-16,605 DAVIS ST                                                                                        ,N,5-Jan-16,G,78701,11.0,3115514.0,10067885.0,Austin ,TX ,605 DAVIS ST                                                                                        Austin  TX  78701
50,20165000021.0,1.0,BURGLARY OF VEHICLE           ,Theft,1-Jan-16,1034 CLAYTON LN                                                                                     ,N,14-Jan-16,I,78723,21.05,3126342.0,10089763.0,Austin ,TX ,1034 CLAYTON LN                                                                                     Austin  TX  78723
51,20165000025.0,1.0,THEFT                         ,Theft,1-Jan-16,6855 E US 290 HWY SVRD EB                                                                           ,N,29-Mar-16,I,78723,21.12,3131316.0,10090270.0,Austin ,TX ,6855 E US 290 HWY SVRD EB                                                                           Austin  TX  78723
52,20165000030.0,5.0,THEFT                         ,Theft,1-Jan-16,10600 WATCHFUL FOX DR                                                                               ,N,6-Jan-16,F,78748,24.21,3092400.0,10030140.0,Austin ,TX ,10600 WATCHFUL FOX DR                                                                               Austin  TX  78748
53,20165000031.0,7.0,BURGLARY OF VEHICLE           ,Theft,1-Jan-16,11901 N MOPAC EXPY SVRD NB                                                                          ,N,12-Jan-16,A,78758,18.49,3120548.0,10121510.0,Austin ,TX ,11901 N MOPAC EXPY SVRD NB                                                                          Austin  TX  78758
54,20165000043.0,7.0,BURGLARY OF VEHICLE           ,Theft,1-Jan-16,12509 N LAMAR BLVD                                                                                  ,N,8-Jan-16,E,78753,18.48,3133636.0,10122509.0,Austin ,TX ,12509 N LAMAR BLVD                                                                                  Austin  TX  78753
55,20165000045.0,5.0,THEFT                         ,Theft,1-Jan-16,9600 S IH 35 SVRD SB                                                                                ,N,7-Jan-16,F,78748,24.21,3099540.0,10031306.0,Austin ,TX ,9600 S IH 35 SVRD SB                                                                                Austin  TX  78748
56,20165000049.0,4.0,BURGLARY OF VEHICLE           ,Theft,1-Jan-16,8500 N IH 35 SB                                                                                     ,N,8-Jan-16,E,78753,18.06,3128794.0,10100195.0,Austin ,TX ,8500 N IH 35 SB                                                                                     Austin  TX  78753
57,20165000059.0,9.0,BURGLARY OF VEHICLE           ,Theft,1-Jan-16,127 E RIVERSIDE DR                                                                                  ,N,14-Jan-16,H,78704,14.01,3113416.0,10066258.0,Austin ,TX ,127 E RIVERSIDE DR                                                                                  Austin  TX  78704
58,20165000061.0,3.0,BURGLARY OF VEHICLE           ,Theft,1-Jan-16,E 5TH ST / ONION ST                                                                                 ,N,4-Jan-16,G,78702,9.02,3119041.0,10068828.0,Austin ,TX ,E 5TH ST / ONION ST                                                                                 Austin  TX  78702
59,20165000062.0,1.0,BURGLARY OF VEHICLE           ,Theft,1-Jan-16,EMBASSY DR / E 9TH ST                                                                               ,N,14-Jan-16,G,78702,9.01,3117723.0,10070838.0,Austin ,TX ,EMBASSY DR / E 9TH ST                                                                               Austin  TX  78702
60,20165000064.0,9.0,THEFT                         ,Theft,1-Jan-16,208 NUECES ST                                                                                       ,N,5-Jan-16,G,78701,11.0,3112113.0,10070173.0,Austin ,TX ,208 NUECES ST                                                                                       Austin  TX  78701
61,20165000068.0,9.0,BURGLARY OF VEHICLE           ,Theft,1-Jan-16,1000 E 41ST ST                                                                                      ,N,4-Jan-16,B,78751,3.02,3121345.0,10082705.0,Austin ,TX ,1000 E 41ST ST                                                                                      Austin  TX  78751
62,20165000069.0,4.0,BURGLARY OF VEHICLE           ,Theft,1-Jan-16,7210 PROVIDENCE AVE                                                                                 ,N,4-Jan-16,I,78752,18.12,3128221.0,10093769.0,Austin ,TX ,7210 PROVIDENCE AVE                                                                                 Austin  TX  78752
