,Council District,GO Highest Offense Desc,Austin_Offense_Description,GO Report Date,Clearance Status,Clearance Date,GO District,GO Census Tract,Full_Address
1,9.0,THEFT                         ,Theft,1-Jan-16,C,4-Jan-16,G,11.0,219 E 6TH ST                                                                                        Austin  TX  78701
3,9.0,THEFT                         ,Theft,1-Jan-16,N,22-Jan-16,G,11.0,404 COLORADO ST                                                                                     Austin  TX  78701
25,9.0,BURGLARY OF VEHICLE           ,Theft,1-Jan-16,N,14-Jan-16,G,11.0,119 E 10TH ST                                                                                       Austin  TX  78701
26,7.0,THEFT BY SHOPLIFTING          ,Theft,1-Jan-16,N,14-Jan-16,A,18.49,3311 ESPERANZA XING                                                                                 Austin  TX  78758
27,2.0,BURGLARY OF VEHICLE           ,Theft,1-Jan-16,N,2-Jan-16,F,24.31,4749 E BEN WHITE BLVD SVRD EB                                                                       Austin  TX  78744
28,5.0,THEFT                         ,Theft,1-Jan-16,C,16-Feb-16,F,24.21,9300 S IH 35 SVRD SB                                                                                Austin  TX  78748
31,9.0,BURGLARY OF VEHICLE           ,Theft,1-Jan-16,C,2-Jan-16,B,3.02,1000 E 41ST ST                                                                                      Austin  TX  78751
32,5.0,THEFT BY SHOPLIFTING          ,Theft,1-Jan-16,C,17-Feb-16,F,24.21,9500 S IH 35 SVRD SB                                                                                Austin  TX  78748
33,5.0,THEFT                         ,Theft,1-Jan-16,N,6-Jan-16,F,24.21,9300 S IH 35 SVRD SB                                                                                Austin  TX  78748
38,9.0,THEFT                         ,Theft,1-Jan-16,C,4-Jan-16,G,11.0,214 E 6TH ST                                                                                        Austin  TX  78701
39,5.0,THEFT                         ,Theft,1-Jan-16,C,1-Jan-16,F,24.21,9300 S IH 35 SVRD SB                                                                                Austin  TX  78748
42,4.0,THEFT BY SHOPLIFTING          ,Theft,1-Jan-16,C,2-Jan-16,I,18.13,1030 NORWOOD PARK BLVD                                                                              Austin  TX  78753
43,7.0,THEFT OF LICENSE PLATE        ,Theft,1-Jan-16,N,1-Jan-16,A,18.5,12166 METRIC BLVD                                                                                   Austin  TX  78758
44,4.0,BURGLARY OF VEHICLE           ,Theft,1-Jan-16,N,14-Jan-16,I,21.04,1201 CLOVERLEAF DR                                                                                  Austin  TX  78723
45,9.0,THEFT                         ,Theft,1-Jan-16,N,13-Jan-16,G,11.0,W 4TH ST / COLORADO ST                                                                              Austin  TX  78701
46,4.0,THEFT                         ,Theft,1-Jan-16,N,27-Jan-16,E,18.04,8010 N IH 35 SVRD SB                                                                                Austin  TX  78753
47,9.0,THEFT                         ,Theft,1-Jan-16,N,5-Jan-16,G,11.0,406 E 6TH ST                                                                                        Austin  TX  78701
