Offense_Description,Report_Date,Full_Address
Agg Assault,15-Jul-16,8128 N IH 35 SVRD SB                                                                                Austin TX 78753
Theft: Auto Theft,15-Jul-16,6901 N IH 35 SVRD NB                                                                                Austin TX 78752
Theft,9-Jul-15,3755 S CAPITAL OF TEXAS HWY NB                                                                      Austin TX 78704
Theft: All Other Larceny,02/10/2014 12:00:00 AM,3115 TOM GREEN ST                                                                                   Austin TX 78705
Theft: BOV,02/06/2014 12:00:00 AM,8917 RESEARCH BLVD SVRD NB                                                                          Austin TX 78758
Theft,16-Jun-16,2502 LEON ST                                                                                        Austin TX 78705
Theft,6-Sep-15,STEPHEN F AUSTIN DR / VETERANS DR                                                                   Austin TX 78703
Burglary,25-May-15,121 PICKLE RD                                                                                       Austin TX 78704
Theft,18-Nov-15,601 N IH 35 SVRD NB                                                                                 Austin TX 78702
Theft,16-Jul-16,TRINITY ST / E 9TH ST                                                                               Austin TX 78701
Theft,23-Nov-16,7601 PECCARY DR                                                                                     Austin TX 78744
Theft,26-Aug-15,200 CONGRESS AVE                                                                                    Austin TX 78701
Theft,22-May-15,4911 GANYMEDE DR                                                                                    Austin TX 78727
Theft,17-Apr-16,1200 BARBARA JORDAN BLVD                                                                            Austin TX 78723
Theft,25-Nov-15,7501 S IH 35 NB                                                                                     Austin TX 78744
Theft,16-Feb-15,11200 LAKELINE MALL DR                                                                              Austin TX 78613
Theft: BOV,11/05/2014 12:00:00 AM,2606 WHELESS LN                                                                                     Austin TX 78723
Agg Assault,4-Sep-15,1705 FRONTIER VALLEY DR                                                                             Austin TX 78741
Theft: BOV,08/26/2014 12:00:00 AM,507 CALLES ST                                                                                       Austin TX 78702
Theft,15-Mar-16,11200 LAKELINE MALL DR                                                                              Austin TX 78613
Theft,24-Mar-16,500 CANYON RIDGE DR                                                                                 Austin TX 78753
Burglary: Breaking & Entering,05/08/2014 12:00:00 AM,604 MEADOW LEA DR                                                                                   Austin TX 78745
Theft,14-Mar-15,1207 ALAMO ST                                                                                       Austin TX 78702
Theft,4-Jun-16,5728 JANABYRD LN                                                                                    Austin TX 78749
Agg Assault,3-Apr-16,5800 TECHNI CENTER DR                                                                               Austin TX 78721
Theft: All Other Larceny,09/10/2014 12:00:00 AM,7600 WATSON ST                                                                                      Austin TX 78757
Theft,8-Dec-15,9828 GREAT HILLS TRL                                                                                Austin TX 78759
Theft: Auto Theft,14-Jul-15,5313 BASSWOOD LN                                                                                    Austin TX 78723
Theft,14-Jun-16,7112 ED BLUESTEIN BLVD NB                                                                           Austin TX 78724
Theft: All Other Larceny,01/23/2014 12:00:00 AM,5405 CHEVY CIR                                                                                      Austin TX 78723
Theft,27-May-15,1412 W 39TH HALF ST                                                                                 Austin TX 78756
Theft,10-Jul-15,9300 S IH 35 SVRD SB                                                                                Austin TX 78748
Theft,26-Sep-16,11301 FARRAH LN                                                                                     Austin TX 78748
Robbery,2-May-16,N PLEASANT VALLEY RD / KUHLMAN AVE                                                                  Austin TX 78702
Theft,8-Aug-15,3311 ESPERANZA XING                                                                                 Austin TX 78758
Burglary: Breaking & Entering,05/22/2014 12:00:00 AM,2706 VALLEY SPRING RD                                                                               Austin TX 78746
Theft,27-Dec-16,1211 MILFORD WAY                                                                                    Austin TX 78745
Theft: All Other Larceny,07/28/2014 12:00:00 AM,1100 E CESAR CHAVEZ ST                                                                              Austin TX 78702
Theft,2-Jun-16,3600 PRESIDENTIAL BLVD                                                                              Austin TX 78719
Theft: BOV,05/29/2014 12:00:00 AM,5304 INDIO CV                                                                                       Austin TX 78745
Theft,4-Jan-16,2811 VERNON AVE                                                                                     Austin TX 78723
Theft,25-Jun-16,2207 WICKERSHAM LN                                                                                  Austin TX 78741
Theft,14-Sep-15,2710 NUECES ST                                                                                      Austin TX 78705
Theft,28-Oct-16,7217 RUNNING ROPE                                                                                   Austin TX 78731
Theft: Auto Theft,01/17/2014 12:00:00 AM,8613 CROSS PARK DR                                                                                  Austin TX 78754
Theft: All Other Larceny,01/17/2014 12:00:00 AM,1300 PAYTON GIN RD                                                                                  Austin TX 78758
Theft,14-Feb-15,1000 TRINITY ST                                                                                     Austin TX 78701
Robbery,07/02/2014 12:00:00 AM,1707 INVERNESS BLVD                                                                                 Austin TX 78745
Theft: All Other Larceny,12/04/2014 12:00:00 AM,710 E BEN WHITE BLVD WB                                                                             Austin TX 78704
Burglary,15-Sep-16,2239 CROMWELL CIR                                                                                   Austin TX 78741
Theft: Auto Theft,4-Dec-16,1502 COLONY CREEK DR                                                                                Austin TX 78758
Burglary,7-Apr-16,9409 HUNTER LN                                                                                      Austin TX 78748
Theft,30-Dec-15,10713 JOLLYVILLE RD                                                                                 Austin TX 78759
Theft,15-Aug-15,10317 DALEA VISTA CT                                                                                Austin TX 78739
Theft: All Other Larceny,06/03/2014 12:00:00 AM,1401 S PLEASANT VALLEY RD                                                                           Austin TX 78741
Theft,1-Aug-15,8200 N CAPITAL OF TEXAS HWY SB                                                                      Austin TX 78759
Burglary,18-Sep-15,1303 W ST JOHNS AVE                                                                                 Austin TX 78757
Theft: Shoplifting,07/14/2014 12:00:00 AM,12900 N IH 35 SVRD SB                                                                               Austin TX 78753
Theft,15-Oct-16,6600 MANOR RD                                                                                       Austin TX 78723
Theft,9-Oct-15,10107 RESEARCH BLVD SVRD NB                                                                         Austin TX 78759
Theft,18-Dec-15,4212 BERKMAN DR                                                                                     Austin TX 78723
Theft,31-Oct-16,1300 CROSSING PL                                                                                    Austin TX 78741
Theft,7-Dec-15,4701 MONTEREY OAKS BLVD                                                                             Austin TX 78749
Burglary: Breaking & Entering,12/11/2014 12:00:00 AM,306 W RUNDBERG LN                                                                                   Austin TX 78753
Theft: Shoplifting,10/23/2014 12:00:00 AM,2300 W BEN WHITE BLVD EB                                                                            Austin TX 78745
Theft: Auto Theft,03/14/2014 12:00:00 AM,4602 E STASSNEY LN                                                                                  Austin TX 78744
Theft,11-Dec-16,7500 INSPIRATION DR                                                                                 Austin TX 78724
Theft: Auto Theft,21-Jan-16,2710 NUECES ST                                                                                      Austin TX 78705
Theft,1-Jul-16,5500 RAIN CREEK PKWY                                                                                Austin TX 78759
Theft,23-Jul-15,500 CANYON RIDGE DR                                                                                 Austin TX 78753
Burglary,12-Dec-15,12001 BURNET RD                                                                                     Austin TX 78758
Theft: Shoplifting,04/14/2014 12:00:00 AM,12625 N IH 35 SVRD NB                                                                               Austin TX 78753
Theft,28-Jul-16,11803 DOVE HAVEN DR                                                                                 Austin TX 78753
Theft: All Other Larceny,12/26/2014 12:00:00 AM,11279 TAYLOR DRAPER LN                                                                              Austin TX 78759
Theft,5-Aug-15,301 LAVACA ST                                                                                       Austin TX 78701
Theft,29-Nov-16,3111 PALM WAY                                                                                       Austin TX 78758
Theft,14-Dec-16,12707 N MOPAC EXPY NB                                                                               Austin TX 78727
Theft,9-Dec-16,8200 LORALINDA DR                                                                                   Austin TX 78753
Theft: BOV,07/03/2014 12:00:00 AM,7211 LAKEWOOD DR                                                                                    Austin TX 78750
Burglary: Breaking & Entering,08/08/2014 12:00:00 AM,7110 GRAND CANYON DR                                                                                Austin TX 78752
Theft,11-Nov-16,8204 FARMINGTON CT                                                                                  Austin TX 78736
Theft: BOV,12/18/2014 12:00:00 AM,9500 DESSAU RD                                                                                      Austin TX 78753
Theft: BOV,08/29/2014 12:00:00 AM,9185 RESEARCH BLVD SVRD NB                                                                          Austin TX 78758
Theft,24-Apr-15,3211 FEATHERGRASS CT                                                                                Austin TX 78758
Theft: All Other Larceny,11/10/2014 12:00:00 AM,3112 E CESAR CHAVEZ ST                                                                              Austin TX 78702
Theft,18-Sep-15,3918 S MOPAC EXPY SVRD SB                                                                           Austin TX 78746
Theft: All Other Larceny,11/13/2014 12:00:00 AM,5901 N IH 35 SVRD NB                                                                                Austin TX 78723
Burglary: Breaking & Entering,11/10/2014 12:00:00 AM,11906 N IH 35 SVRD SB                                                                               Austin TX 78753
Theft,29-Jun-16,2901 S CAPITAL OF TEXAS HWY NB                                                                      Austin TX 78746
Theft: All Other Larceny,01/11/2014 12:00:00 AM,TRINITY ST / E 6TH ST                                                                               Austin TX 78701
Theft,2-Mar-15,12101 DESSAU RD                                                                                     Austin TX 78754
Burglary,28-Oct-16,7000 COLONY LOOP DR                                                                                 Austin TX 78724
Burglary,9-Apr-15,4301 WESTBANK DR                                                                                    Austin TX 78746
Agg Assault,17-Oct-15,1071 CLAYTON LN                                                                                     Austin TX 78723
Theft,3-Oct-16,2610 WHITIS AVE                                                                                     Austin TX 78705
Theft,8-Apr-15,1801 E 51ST ST                                                                                      Austin TX 78723
Theft,29-Sep-16,13309 N IH 35 SVRD NB                                                                               Austin TX 78753
Theft,27-Jul-15,7101 N IH 35 SVRD NB                                                                                Austin TX 78752
Theft,25-Feb-16,2223 WATERLOO CITY LN                                                                               Austin TX 78741
Theft: All Other Larceny,01/09/2014 12:00:00 AM,1716 WOODWARD ST                                                                                    Austin TX 78741
Theft: BOV,09/15/2014 12:00:00 AM,1001 RUTLAND DR                                                                                     Austin TX 78758
