Business_ID,Business_Name,Business_Ratings,Category,City,Company_Address,Review_Counts,State,Zip,latitude,longitude,First_Review,Second_Review,Third_Review
urban-mattress-south-austin-austin-2,Urban Mattress South Austin,5.0,furniture,Austin,5400 Brodie Ln,96,TX,78745,30.2287220004587,-97.8228503246063,I was searching for a comfortable mattress and visited several different stores in Austin. Deciding on a mattress is no small decision.  But Troy was great...,I was helped by a Hannah at this store and she was helpful and informative but not pushy or a typical mattress salesperson. I ended up purchasing my...,Troy was great. Very knowledgeable on mattress and pillow type. He was welcoming and friendly. The mattress is soft and support. We are excited for al the...
healthy-pet-austin,Healthy Pet,5.0,petstore,Austin,4301 W William Cannon,123,TX,78749,30.22135,-97.83949,"Healthy Pet has a great selection of cat & dogs toys, beds, collars/ leashes/ harnesses, bowls and canisters, brushes/tools, skin/ nail/ coat/ eye/ ear care...",This location is just as helpful as the Lakeline location. Healthy Pet is the Whole Foods and People's Pharmacy for dogs. The associate confirmed my dog had...,"This is a small store and we love it! So do the twins, Moose and Squirrel. The people who work there have always been extremely knowledgeable about the..."
toast-entertainment-austin,Toast Entertainment,5.0,djs,Austin,"Austin, TX 78735",108,TX,78735,30.254790000000003,-97.88913000000001,ToastEnt was the PERFECT match for our wedding. We had a DIY wedding but really wanted to splurge on a DJ and a Photo Booth to keep the reception fun and...,"I was very impressed with how professional our DJ Jesse was!  He was excellent and kept my guests on the dance floor, which was awesome!  I was referred to...","Ang was amazing, outgoing, patient and willing to personalize everything including a contest we suggested at the last minute. She asked for feedback about..."
mercedes-flowers-austin-8,Mercedes Flowers,5.0,florists,Austin,6705 Us-290 W,112,TX,78735,30.232744553164803,-97.8652378822817,"Update - just ordered again from Mercedes. In the words of the recipient ""thank you for the beautiful flowers, they are incredible!"" 

Update- just ordered...","I don't even know how to begin, but I can honestly tell you that Mercedes has the best and unique flowers in Austin! What make her flowers so special are...","Absolutely fantastic! Great storage for flowers, thus resulting in the ability to have beautiful arrangements. Just do it. Go in and asked to be shown..."
zen-well-austin,Zen Well,5.0,reflexology,Austin,3421 W William Cannon Dr,188,TX,78745,30.2123639045337,-97.8307982959091,"This was amazing! Dawn blew me away. She was so knowledgeable, and got me back to full range of motion and out of pain for the first time in weeks. The...","Overall, a very unique massage experience!

I did no research whatsoever on what exactly a Thai massage is before coming here. That's smart, right? Anyway,...","Zen Well made me more satisfied after leaving a massage than any other place I've been to. 

On average, I get a massage at least once a month.  Sometimes..."
sage-blossom-massage-austin-2,Sage Blossom Massage,5.0,massage_therapy,Austin,4970 W Hwy 290,87,TX,78735,30.2357268121697,-97.8199492234986,The Sage Blossom is awesome! I had a bunch of knots in my back and had called to make an appointment because I had a few questions and the guy who answered...,"Well Drats, back to the drawing board.

My review update is about consistency, ease of use, and customer experience.  If you need a ""one shot"" massage,...","The Sage Blossom, the Whole experience was amazing. I 'd love to keep coming here for energizing my body after a rush work. Already asked to Schedule an..."
barefoot-mosquito-control-austin,Barefoot Mosquito Control,5.0,pest_control,Austin,8300 Old Bee Caves Rd,96,TX,78735,30.249874100000003,-97.8865266,"After one treatment (two days ago), there has been a SIGNIFICANT and VERY NOTICEABLE difference in the highly infested area of the yard. 

After not being...","We use them every month during the summer/fall and never get bitten.  I asked my neighbors if it was ok to overspray into their yards, so I could make sure...","We were customers. We paid for three treatments, then decided that the reduction of the number of mosquitoes in our yard was simply not worth the cost and..."
the-natural-gardener-austin,The Natural Gardener,4.5,gardening,Austin,8648 Old Bee Caves Rd,174,TX,78735,30.2572002410889,-97.8905487060547,I've lived in 5 states. This is by far the most badass nursery I've ever encountered. From the well organized parking and nursery grounds to the welcoming...,Like a true paradise full of beautiful flora and fauna. One of the best gems in Austin. A visit to this place will renew your faith in the healing powers of...,"Love, love, love this place! Did I mention I love it? When I'm not thinking about my house and backyard I'm thinking about The Natural Gardener and how I..."
throckmortons-austin,Throckmorton's,4.5,watch_repair,Austin,5716 W Hwy 290,98,TX,78735,30.236905800000002,-97.8469675,I wanted to write this review even though I never got a chance to do business with Thockmorton's. I sent a message asking if they would be able to fix a...,"If you want to support businesses who support their employees then Go somewhere else.

I went to Throkmorton's for a new watchband on a 2nd hand  Oris watch...","Service is great, but I do complain that they don't answer the phone call for battery replacement price quotation.
The watch battery replacement is $15+tax...."
manish-patel-od-todays-vision-south-towne-austin-2,"Today's Vision South Towne - Manish Patel, O.D",5.0,optometrists,Austin,5353 W Hwy 290 Service Rd,80,TX,78735,30.235771600000003,-97.83798940000001,"I have been going to Today's Vision for a couple years... they run on time, explain everything, no hidden charges. Dr. Haven explains my options, best...",Dr. Patel was every bit as good as other reviewers said he is. He took his time to check my vision and gave me as much time as I needed to ask questions and...,"I totally loved how thorough and friendly Dr. Manish Patel was while explaining us about our two kiddos. He was in no rush, addressed all my concerns and my..."
